clear_cut_group,anomaly
57438,pas d'anomalie
57446,pas d'anomalie
57456,pas d'anomalie
57493,pas d'anomalie
57541,pas d'anomalie
57546,pas d'anomalie
57570,pas d'anomalie
57581,pas d'anomalie
57602,pas d'anomalie
57648,pas d'anomalie
57778,pas d'anomalie
57781,pas d'anomalie
57795,anomalie faible
57893,pas d'anomalie
57894,pas d'anomalie
57899,pas d'anomalie
57921,pas d'anomalie
57947,pas d'anomalie
57966,pas d'anomalie
57971,pas d'anomalie
57982,pas d'anomalie
57983,pas d'anomalie
57990,pas d'anomalie
58014,pas d'anomalie
58023,pas d'anomalie
58109,pas d'anomalie
58188,pas d'anomalie
58195,pas d'anomalie
58198,anomalie faible
58202,pas d'anomalie
58217,pas d'anomalie
58219,pas d'anomalie
58235,pas d'anomalie
58279,pas d'anomalie
58281,pas d'anomalie
58307,pas d'anomalie
58323,pas d'anomalie
58328,pas d'anomalie
58406,pas d'anomalie
58405,pas d'anomalie
58431,anomalie moyenne
58440,pas d'anomalie
58447,pas d'anomalie
58448,pas d'anomalie
58471,pas d'anomalie
58479,pas d'anomalie
58489,pas d'anomalie
58572,pas d'anomalie
58573,pas d'anomalie
58582,pas d'anomalie
58583,pas d'anomalie
58606,pas d'anomalie
58607,pas d'anomalie
58634,pas d'anomalie
58745,anomalie faible
58769,pas d'anomalie
58784,anomalie faible
58808,pas d'anomalie
58897,pas d'anomalie
59001,pas d'anomalie
59018,pas d'anomalie
59014,pas d'anomalie
59023,pas d'anomalie
59024,pas d'anomalie
59025,pas d'anomalie
59026,pas d'anomalie
59046,pas d'anomalie
59049,pas d'anomalie
59050,pas d'anomalie
59054,pas d'anomalie
59247,pas d'anomalie
59259,pas d'anomalie
59268,pas d'anomalie
59274,pas d'anomalie
59283,pas d'anomalie
59309,pas d'anomalie
59312,pas d'anomalie
59325,pas d'anomalie
59355,pas d'anomalie
59368,pas d'anomalie
59375,pas d'anomalie
59380,pas d'anomalie
59394,pas d'anomalie
59401,pas d'anomalie
59437,pas d'anomalie
59448,pas d'anomalie
59458,pas d'anomalie
59550,pas d'anomalie
59553,pas d'anomalie
59561,pas d'anomalie
59569,pas d'anomalie
59687,pas d'anomalie
59691,pas d'anomalie
59716,pas d'anomalie
59728,pas d'anomalie
59730,pas d'anomalie
59758,pas d'anomalie
59810,pas d'anomalie
59812,pas d'anomalie
59814,pas d'anomalie
59824,pas d'anomalie
59843,pas d'anomalie
59844,pas d'anomalie
59901,pas d'anomalie
59955,pas d'anomalie
59973,pas d'anomalie
59999,pas d'anomalie
59400,pas d'anomalie
60004,pas d'anomalie
60009,pas d'anomalie
60015,pas d'anomalie
60017,pas d'anomalie
60027,anomalie faible
60038,pas d'anomalie
60047,pas d'anomalie
60056,pas d'anomalie
60061,pas d'anomalie
60068,pas d'anomalie
60069,pas d'anomalie
60078,pas d'anomalie
60105,pas d'anomalie
60119,pas d'anomalie
60121,pas d'anomalie
60151,pas d'anomalie
60164,pas d'anomalie
60201,pas d'anomalie
60204,anomalie faible
60226,pas d'anomalie
60228,pas d'anomalie
60233,pas d'anomalie
60241,pas d'anomalie
242587,pas d'anomalie
60248,pas d'anomalie
60253,pas d'anomalie
60254,pas d'anomalie
60249,pas d'anomalie
60258,pas d'anomalie
60239,pas d'anomalie
60293,pas d'anomalie
60324,pas d'anomalie
60328,pas d'anomalie
60367,pas d'anomalie
60378,pas d'anomalie
60381,pas d'anomalie
60385,pas d'anomalie
60390,pas d'anomalie
60397,pas d'anomalie
60420,pas d'anomalie
60424,anomalie forte
60437,pas d'anomalie
60465,pas d'anomalie
60476,pas d'anomalie
60480,anomalie moyenne
60499,pas d'anomalie
60505,pas d'anomalie
60516,pas d'anomalie
60523,pas d'anomalie
60543,pas d'anomalie
60564,pas d'anomalie
242597,pas d'anomalie
60572,pas d'anomalie
60576,pas d'anomalie
60578,pas d'anomalie
60602,pas d'anomalie
60622,pas d'anomalie
60627,pas d'anomalie
60641,pas d'anomalie
60642,pas d'anomalie
60646,pas d'anomalie
60605,pas d'anomalie
60645,pas d'anomalie
60653,pas d'anomalie
60659,pas d'anomalie
60668,pas d'anomalie
60670,pas d'anomalie
60687,pas d'anomalie
60688,pas d'anomalie
60690,pas d'anomalie
60697,pas d'anomalie
60702,pas d'anomalie
60720,pas d'anomalie
60725,pas d'anomalie
60728,pas d'anomalie
60779,pas d'anomalie
60769,pas d'anomalie
60785,pas d'anomalie
60793,pas d'anomalie
60800,pas d'anomalie
60802,pas d'anomalie
60806,pas d'anomalie
60813,pas d'anomalie
60816,pas d'anomalie
60818,pas d'anomalie
60820,pas d'anomalie
60827,pas d'anomalie
60833,pas d'anomalie
60850,pas d'anomalie
60881,pas d'anomalie
60886,pas d'anomalie
60891,pas d'anomalie
60897,pas d'anomalie
60900,pas d'anomalie
60943,pas d'anomalie
60649,pas d'anomalie
60947,pas d'anomalie
60954,pas d'anomalie
60956,pas d'anomalie
60957,pas d'anomalie
60971,pas d'anomalie
60975,pas d'anomalie
61005,pas d'anomalie
61006,pas d'anomalie
61034,pas d'anomalie
61039,pas d'anomalie
61073,pas d'anomalie
61165,pas d'anomalie
61180,pas d'anomalie
61252,pas d'anomalie
61265,pas d'anomalie
61271,pas d'anomalie
61285,pas d'anomalie
61003,anomalie moyenne
61324,pas d'anomalie
61328,pas d'anomalie
61345,pas d'anomalie
61346,pas d'anomalie
61368,pas d'anomalie
61384,pas d'anomalie
61416,pas d'anomalie
61417,pas d'anomalie
61435,anomalie faible
61459,anomalie moyenne
61462,pas d'anomalie
61509,pas d'anomalie
61525,pas d'anomalie
61604,pas d'anomalie
61626,pas d'anomalie
61628,pas d'anomalie
61657,pas d'anomalie
61665,pas d'anomalie
61706,pas d'anomalie
61707,pas d'anomalie
61755,pas d'anomalie
61815,pas d'anomalie
61818,pas d'anomalie
61849,pas d'anomalie
61876,pas d'anomalie
61941,pas d'anomalie
62033,pas d'anomalie
62038,pas d'anomalie
62043,pas d'anomalie
62068,pas d'anomalie
62083,pas d'anomalie
62095,pas d'anomalie
62097,pas d'anomalie
62107,pas d'anomalie
62113,pas d'anomalie
62122,pas d'anomalie
62179,pas d'anomalie
62230,pas d'anomalie
62307,pas d'anomalie
62311,pas d'anomalie
62320,pas d'anomalie
62324,pas d'anomalie
62367,pas d'anomalie
62366,pas d'anomalie
62369,pas d'anomalie
62365,pas d'anomalie
62402,pas d'anomalie
62403,pas d'anomalie
62404,pas d'anomalie
62116,pas d'anomalie
62450,pas d'anomalie
62456,pas d'anomalie
62451,pas d'anomalie
61659,pas d'anomalie
62475,pas d'anomalie
62480,pas d'anomalie
62492,pas d'anomalie
62503,pas d'anomalie
62513,pas d'anomalie
62560,pas d'anomalie
62566,pas d'anomalie
62601,pas d'anomalie
62612,pas d'anomalie
62622,pas d'anomalie
62625,pas d'anomalie
62651,pas d'anomalie
62655,pas d'anomalie
62660,pas d'anomalie
62662,pas d'anomalie
62754,pas d'anomalie
62760,anomalie forte
62799,pas d'anomalie
62812,pas d'anomalie
62862,pas d'anomalie
62879,pas d'anomalie
62858,pas d'anomalie
62892,pas d'anomalie
62915,pas d'anomalie
62934,pas d'anomalie
62935,pas d'anomalie
62927,pas d'anomalie
62982,pas d'anomalie
62989,pas d'anomalie
63002,pas d'anomalie
63041,pas d'anomalie
63034,pas d'anomalie
63057,pas d'anomalie
63078,pas d'anomalie
63092,pas d'anomalie
63093,pas d'anomalie
63096,pas d'anomalie
63098,pas d'anomalie
63099,pas d'anomalie
63123,pas d'anomalie
63126,pas d'anomalie
63146,pas d'anomalie
63153,pas d'anomalie
62539,pas d'anomalie
63171,pas d'anomalie
63180,pas d'anomalie
63206,pas d'anomalie
63207,pas d'anomalie
63211,pas d'anomalie
63225,pas d'anomalie
63240,pas d'anomalie
63258,pas d'anomalie
63261,pas d'anomalie
63268,pas d'anomalie
63272,pas d'anomalie
63292,pas d'anomalie
63293,pas d'anomalie
63305,pas d'anomalie
63307,pas d'anomalie
63314,pas d'anomalie
63315,pas d'anomalie
63323,pas d'anomalie
63335,pas d'anomalie
63339,pas d'anomalie
63371,pas d'anomalie
63387,pas d'anomalie
63393,pas d'anomalie
63399,pas d'anomalie
63416,pas d'anomalie
63418,pas d'anomalie
63428,pas d'anomalie
63450,pas d'anomalie
63451,pas d'anomalie
63455,pas d'anomalie
63461,pas d'anomalie
63464,pas d'anomalie
63472,pas d'anomalie
63476,pas d'anomalie
63484,pas d'anomalie
63522,anomalie forte
63535,pas d'anomalie
63566,pas d'anomalie
63583,pas d'anomalie
63612,pas d'anomalie
63632,pas d'anomalie
63651,pas d'anomalie
63654,pas d'anomalie
63656,pas d'anomalie
63689,pas d'anomalie
63740,pas d'anomalie
63753,pas d'anomalie
63754,pas d'anomalie
63835,anomalie faible
63846,pas d'anomalie
63887,pas d'anomalie
63889,pas d'anomalie
63902,anomalie faible
63907,pas d'anomalie
63943,pas d'anomalie
63953,pas d'anomalie
63980,pas d'anomalie
64015,pas d'anomalie
64043,pas d'anomalie
64046,pas d'anomalie
64073,pas d'anomalie
64077,pas d'anomalie
64068,pas d'anomalie
64096,pas d'anomalie
64132,pas d'anomalie
64151,anomalie moyenne
64156,pas d'anomalie
64168,pas d'anomalie
64142,pas d'anomalie
64160,pas d'anomalie
64180,pas d'anomalie
64227,pas d'anomalie
64249,pas d'anomalie
64251,pas d'anomalie
64261,pas d'anomalie
64270,pas d'anomalie
64329,pas d'anomalie
64401,pas d'anomalie
64425,pas d'anomalie
64441,pas d'anomalie
64443,pas d'anomalie
64465,pas d'anomalie
64466,pas d'anomalie
64471,pas d'anomalie
64516,anomalie faible
64551,anomalie moyenne
64554,pas d'anomalie
64571,pas d'anomalie
64602,pas d'anomalie
64639,pas d'anomalie
64665,pas d'anomalie
64672,pas d'anomalie
64674,pas d'anomalie
64714,pas d'anomalie
64816,pas d'anomalie
64823,pas d'anomalie
64898,pas d'anomalie
64908,pas d'anomalie
64931,pas d'anomalie
64949,pas d'anomalie
64977,pas d'anomalie
64979,pas d'anomalie
65006,pas d'anomalie
65009,pas d'anomalie
65047,pas d'anomalie
65052,anomalie faible
65075,anomalie faible
65090,anomalie forte
65092,anomalie forte
65072,anomalie faible
65120,pas d'anomalie
65122,anomalie forte
65126,anomalie forte
65129,anomalie faible
65145,anomalie faible
65150,anomalie faible
65155,anomalie faible
65162,pas d'anomalie
65179,pas d'anomalie
65183,pas d'anomalie
65221,pas d'anomalie
65242,pas d'anomalie
65248,pas d'anomalie
65260,pas d'anomalie
65284,pas d'anomalie
65287,pas d'anomalie
65291,pas d'anomalie
65308,pas d'anomalie
65324,pas d'anomalie
65358,pas d'anomalie
65377,pas d'anomalie
65384,anomalie moyenne
65383,pas d'anomalie
65386,pas d'anomalie
65437,pas d'anomalie
65460,pas d'anomalie
65459,anomalie faible
65501,pas d'anomalie
65517,pas d'anomalie
65541,pas d'anomalie
65555,pas d'anomalie
65569,pas d'anomalie
65570,pas d'anomalie
65604,pas d'anomalie
65608,pas d'anomalie
65631,pas d'anomalie
65633,pas d'anomalie
65637,pas d'anomalie
65638,pas d'anomalie
65642,anomalie faible
65659,pas d'anomalie
65718,pas d'anomalie
65717,pas d'anomalie
65752,pas d'anomalie
65761,pas d'anomalie
65782,pas d'anomalie
65787,pas d'anomalie
65821,pas d'anomalie
65834,pas d'anomalie
65863,pas d'anomalie
65872,pas d'anomalie
65873,pas d'anomalie
65886,pas d'anomalie
65892,pas d'anomalie
65897,pas d'anomalie
65828,pas d'anomalie
65908,pas d'anomalie
65942,pas d'anomalie
65943,pas d'anomalie
65976,pas d'anomalie
66001,pas d'anomalie
66020,pas d'anomalie
66034,pas d'anomalie
66054,pas d'anomalie
66096,pas d'anomalie
66155,pas d'anomalie
66164,pas d'anomalie
66165,pas d'anomalie
66167,pas d'anomalie
66188,pas d'anomalie
66232,pas d'anomalie
66247,pas d'anomalie
66274,pas d'anomalie
66282,pas d'anomalie
66301,pas d'anomalie
66331,pas d'anomalie
66336,pas d'anomalie
66398,pas d'anomalie
66421,pas d'anomalie
66426,pas d'anomalie
66429,pas d'anomalie
66463,pas d'anomalie
66472,pas d'anomalie
66478,anomalie faible
66489,pas d'anomalie
66498,pas d'anomalie
66500,pas d'anomalie
66511,pas d'anomalie
66580,pas d'anomalie
66618,pas d'anomalie
66626,pas d'anomalie
66637,pas d'anomalie
66670,pas d'anomalie
66721,pas d'anomalie
66728,pas d'anomalie
66739,pas d'anomalie
66748,pas d'anomalie
66790,pas d'anomalie
66802,pas d'anomalie
66825,pas d'anomalie
66849,pas d'anomalie
66876,pas d'anomalie
66880,pas d'anomalie
66894,pas d'anomalie
66907,pas d'anomalie
66911,pas d'anomalie
66924,pas d'anomalie
66956,pas d'anomalie
66967,pas d'anomalie
67003,pas d'anomalie
67007,pas d'anomalie
67016,pas d'anomalie
67018,pas d'anomalie
67025,pas d'anomalie
67067,pas d'anomalie
67101,pas d'anomalie
67111,pas d'anomalie
67129,pas d'anomalie
67134,pas d'anomalie
67143,pas d'anomalie
67166,pas d'anomalie
67173,pas d'anomalie
67183,pas d'anomalie
67236,pas d'anomalie
67259,pas d'anomalie
67281,pas d'anomalie
242935,pas d'anomalie
67299,pas d'anomalie
67302,pas d'anomalie
67338,pas d'anomalie
67351,pas d'anomalie
67359,pas d'anomalie
67360,pas d'anomalie
67341,pas d'anomalie
67388,pas d'anomalie
67412,pas d'anomalie
67411,pas d'anomalie
67448,pas d'anomalie
67456,pas d'anomalie
67462,pas d'anomalie
67465,pas d'anomalie
67461,pas d'anomalie
67476,pas d'anomalie
67480,pas d'anomalie
67483,pas d'anomalie
67492,pas d'anomalie
67495,pas d'anomalie
67502,pas d'anomalie
67510,pas d'anomalie
67512,pas d'anomalie
67527,pas d'anomalie
67528,anomalie faible
67530,pas d'anomalie
67539,pas d'anomalie
67541,pas d'anomalie
67532,pas d'anomalie
67543,pas d'anomalie
67549,pas d'anomalie
67554,pas d'anomalie
67557,pas d'anomalie
67608,pas d'anomalie
67607,pas d'anomalie
67613,pas d'anomalie
67624,pas d'anomalie
67640,pas d'anomalie
67666,pas d'anomalie
67669,pas d'anomalie
67723,pas d'anomalie
66791,pas d'anomalie
67754,pas d'anomalie
67765,pas d'anomalie
67786,pas d'anomalie
67824,pas d'anomalie
67827,pas d'anomalie
67804,pas d'anomalie
67836,pas d'anomalie
67859,pas d'anomalie
67872,pas d'anomalie
67891,pas d'anomalie
67893,pas d'anomalie
67903,pas d'anomalie
67907,pas d'anomalie
67910,pas d'anomalie
67924,pas d'anomalie
67926,pas d'anomalie
67948,pas d'anomalie
67951,pas d'anomalie
67960,pas d'anomalie
67967,anomalie faible
67908,pas d'anomalie
67969,pas d'anomalie
67972,pas d'anomalie
67974,pas d'anomalie
67999,pas d'anomalie
68007,pas d'anomalie
68023,pas d'anomalie
68027,pas d'anomalie
67987,pas d'anomalie
68041,pas d'anomalie
68065,pas d'anomalie
68074,pas d'anomalie
68075,pas d'anomalie
68080,pas d'anomalie
68091,pas d'anomalie
68123,pas d'anomalie
68143,pas d'anomalie
68148,pas d'anomalie
68158,pas d'anomalie
68157,pas d'anomalie
68164,pas d'anomalie
68167,pas d'anomalie
68181,pas d'anomalie
68192,pas d'anomalie
68196,pas d'anomalie
68200,pas d'anomalie
68201,pas d'anomalie
68208,pas d'anomalie
68237,pas d'anomalie
68238,pas d'anomalie
68241,pas d'anomalie
68264,pas d'anomalie
68266,pas d'anomalie
68283,anomalie faible
68291,pas d'anomalie
68294,pas d'anomalie
68311,pas d'anomalie
68324,pas d'anomalie
68340,pas d'anomalie
68343,pas d'anomalie
68391,pas d'anomalie
68404,pas d'anomalie
68416,pas d'anomalie
68432,pas d'anomalie
68440,pas d'anomalie
68445,pas d'anomalie
68452,pas d'anomalie
68462,pas d'anomalie
68467,pas d'anomalie
68470,pas d'anomalie
68481,pas d'anomalie
68479,pas d'anomalie
68488,pas d'anomalie
68494,pas d'anomalie
68503,pas d'anomalie
68518,pas d'anomalie
68540,pas d'anomalie
68546,pas d'anomalie
68601,pas d'anomalie
68615,pas d'anomalie
68637,pas d'anomalie
68648,pas d'anomalie
68649,pas d'anomalie
68654,pas d'anomalie
68652,pas d'anomalie
68657,pas d'anomalie
68659,pas d'anomalie
68660,pas d'anomalie
68662,pas d'anomalie
68664,pas d'anomalie
68668,pas d'anomalie
68176,pas d'anomalie
68679,pas d'anomalie
68695,pas d'anomalie
68713,pas d'anomalie
68746,anomalie faible
68752,pas d'anomalie
68762,pas d'anomalie
68764,pas d'anomalie
68794,pas d'anomalie
68791,pas d'anomalie
68797,pas d'anomalie
68816,pas d'anomalie
68825,pas d'anomalie
68834,pas d'anomalie
68838,pas d'anomalie
68839,pas d'anomalie
68841,pas d'anomalie
68850,pas d'anomalie
68860,pas d'anomalie
68881,pas d'anomalie
68904,pas d'anomalie
68909,pas d'anomalie
68914,pas d'anomalie
68940,pas d'anomalie
68938,pas d'anomalie
68944,pas d'anomalie
68946,pas d'anomalie
68947,pas d'anomalie
68952,pas d'anomalie
68955,pas d'anomalie
68959,pas d'anomalie
68962,pas d'anomalie
68981,pas d'anomalie
69013,pas d'anomalie
69017,pas d'anomalie
69028,pas d'anomalie
69035,pas d'anomalie
69049,pas d'anomalie
69061,pas d'anomalie
69062,pas d'anomalie
69066,pas d'anomalie
69110,pas d'anomalie
69129,pas d'anomalie
69144,pas d'anomalie
69145,pas d'anomalie
69176,pas d'anomalie
69203,pas d'anomalie
69206,pas d'anomalie
69212,pas d'anomalie
69236,pas d'anomalie
69247,pas d'anomalie
69253,pas d'anomalie
69266,pas d'anomalie
69270,pas d'anomalie
69265,pas d'anomalie
69275,pas d'anomalie
69288,pas d'anomalie
69293,pas d'anomalie
69294,pas d'anomalie
69316,pas d'anomalie
69330,pas d'anomalie
69326,pas d'anomalie
69342,pas d'anomalie
69341,pas d'anomalie
69343,pas d'anomalie
69353,pas d'anomalie
69365,pas d'anomalie
69306,pas d'anomalie
69379,pas d'anomalie
69380,pas d'anomalie
69388,pas d'anomalie
69398,pas d'anomalie
69412,pas d'anomalie
69414,pas d'anomalie
69416,pas d'anomalie
69420,pas d'anomalie
69421,pas d'anomalie
69448,pas d'anomalie
69449,pas d'anomalie
69455,pas d'anomalie
69459,pas d'anomalie
69464,pas d'anomalie
69477,pas d'anomalie
69490,pas d'anomalie
69491,pas d'anomalie
69504,pas d'anomalie
69509,pas d'anomalie
69526,pas d'anomalie
69537,pas d'anomalie
69550,pas d'anomalie
69529,pas d'anomalie
69561,pas d'anomalie
69586,pas d'anomalie
69596,pas d'anomalie
69602,pas d'anomalie
69506,pas d'anomalie
69644,pas d'anomalie
69647,pas d'anomalie
69655,pas d'anomalie
69670,pas d'anomalie
69679,pas d'anomalie
69696,pas d'anomalie
69698,pas d'anomalie
69711,pas d'anomalie
69725,pas d'anomalie
69746,pas d'anomalie
69760,pas d'anomalie
69771,pas d'anomalie
69773,pas d'anomalie
69797,pas d'anomalie
69809,pas d'anomalie
69819,pas d'anomalie
69820,pas d'anomalie
69836,pas d'anomalie
69776,pas d'anomalie
69842,pas d'anomalie
69872,pas d'anomalie
69874,pas d'anomalie
69890,pas d'anomalie
69911,pas d'anomalie
69895,pas d'anomalie
69922,pas d'anomalie
69926,pas d'anomalie
69932,pas d'anomalie
69941,pas d'anomalie
69951,pas d'anomalie
69960,pas d'anomalie
69976,pas d'anomalie
69994,pas d'anomalie
70003,pas d'anomalie
70007,pas d'anomalie
70018,pas d'anomalie
70019,pas d'anomalie
70020,pas d'anomalie
70032,pas d'anomalie
70046,pas d'anomalie
70071,pas d'anomalie
70074,pas d'anomalie
70079,pas d'anomalie
70091,pas d'anomalie
70111,pas d'anomalie
70126,pas d'anomalie
70139,pas d'anomalie
70141,pas d'anomalie
70150,pas d'anomalie
70152,pas d'anomalie
70174,pas d'anomalie
70178,pas d'anomalie
70181,pas d'anomalie
70182,pas d'anomalie
70184,pas d'anomalie
70205,pas d'anomalie
70252,pas d'anomalie
70287,pas d'anomalie
70298,pas d'anomalie
70311,pas d'anomalie
70337,pas d'anomalie
65261,pas d'anomalie
65220,pas d'anomalie
70405,pas d'anomalie
70451,pas d'anomalie
70459,pas d'anomalie
70561,pas d'anomalie
70587,pas d'anomalie
70600,pas d'anomalie
70601,pas d'anomalie
70602,pas d'anomalie
70646,pas d'anomalie
70665,pas d'anomalie
70671,pas d'anomalie
70673,pas d'anomalie
70667,pas d'anomalie
70690,pas d'anomalie
70693,pas d'anomalie
70767,pas d'anomalie
70775,pas d'anomalie
70777,pas d'anomalie
70781,pas d'anomalie
70836,pas d'anomalie
70837,pas d'anomalie
70845,pas d'anomalie
70885,pas d'anomalie
70883,pas d'anomalie
70895,pas d'anomalie
70900,pas d'anomalie
70910,pas d'anomalie
70923,pas d'anomalie
70925,pas d'anomalie
70933,pas d'anomalie
70936,pas d'anomalie
70960,pas d'anomalie
70978,pas d'anomalie
70991,pas d'anomalie
70992,pas d'anomalie
71006,pas d'anomalie
71009,pas d'anomalie
71008,pas d'anomalie
71014,pas d'anomalie
71025,anomalie faible
71036,pas d'anomalie
71086,pas d'anomalie
71091,pas d'anomalie
71137,pas d'anomalie
71140,pas d'anomalie
71144,pas d'anomalie
71180,pas d'anomalie
71211,pas d'anomalie
71205,pas d'anomalie
71213,pas d'anomalie
71229,pas d'anomalie
71110,pas d'anomalie
71230,pas d'anomalie
71237,pas d'anomalie
71264,pas d'anomalie
71267,pas d'anomalie
71270,pas d'anomalie
71277,pas d'anomalie
71278,pas d'anomalie
71279,pas d'anomalie
71280,pas d'anomalie
71265,pas d'anomalie
71285,pas d'anomalie
71284,pas d'anomalie
71287,pas d'anomalie
71292,pas d'anomalie
71300,pas d'anomalie
71323,pas d'anomalie
71324,pas d'anomalie
71327,pas d'anomalie
71329,pas d'anomalie
71332,pas d'anomalie
71335,pas d'anomalie
71338,pas d'anomalie
71344,pas d'anomalie
71346,pas d'anomalie
71350,pas d'anomalie
71354,pas d'anomalie
71366,pas d'anomalie
71367,pas d'anomalie
71373,pas d'anomalie
71394,pas d'anomalie
71400,pas d'anomalie
71402,pas d'anomalie
71403,pas d'anomalie
71412,pas d'anomalie
71428,pas d'anomalie
71433,pas d'anomalie
71434,pas d'anomalie
71443,pas d'anomalie
71444,pas d'anomalie
71446,pas d'anomalie
71445,pas d'anomalie
71456,pas d'anomalie
71468,pas d'anomalie
71470,pas d'anomalie
71472,pas d'anomalie
71504,pas d'anomalie
71510,pas d'anomalie
71514,pas d'anomalie
71518,pas d'anomalie
71520,pas d'anomalie
71529,pas d'anomalie
71555,pas d'anomalie
71561,pas d'anomalie
71563,pas d'anomalie
71572,pas d'anomalie
71579,pas d'anomalie
71586,pas d'anomalie
71616,pas d'anomalie
71625,pas d'anomalie
71626,pas d'anomalie
71624,pas d'anomalie
71634,pas d'anomalie
71646,pas d'anomalie
71649,pas d'anomalie
71661,pas d'anomalie
71670,pas d'anomalie
71682,pas d'anomalie
71696,pas d'anomalie
71710,pas d'anomalie
71751,pas d'anomalie
71806,pas d'anomalie
71843,pas d'anomalie
71848,pas d'anomalie
71850,pas d'anomalie
71871,pas d'anomalie
71876,pas d'anomalie
70943,pas d'anomalie
71894,pas d'anomalie
71896,pas d'anomalie
71907,pas d'anomalie
71943,pas d'anomalie
71948,pas d'anomalie
71964,pas d'anomalie
71965,pas d'anomalie
71992,pas d'anomalie
71995,pas d'anomalie
72011,pas d'anomalie
72057,pas d'anomalie
72060,pas d'anomalie
72069,pas d'anomalie
72082,pas d'anomalie
72092,pas d'anomalie
72096,pas d'anomalie
72098,pas d'anomalie
72121,pas d'anomalie
72133,pas d'anomalie
72149,pas d'anomalie
72154,pas d'anomalie
72172,pas d'anomalie
72183,pas d'anomalie
72203,pas d'anomalie
72207,pas d'anomalie
72209,pas d'anomalie
72210,pas d'anomalie
72211,pas d'anomalie
72212,pas d'anomalie
72215,pas d'anomalie
72230,pas d'anomalie
72231,pas d'anomalie
72233,pas d'anomalie
72237,pas d'anomalie
72277,pas d'anomalie
72283,pas d'anomalie
72284,pas d'anomalie
72307,pas d'anomalie
72322,pas d'anomalie
72343,pas d'anomalie
72349,pas d'anomalie
72394,pas d'anomalie
72410,anomalie faible
72413,pas d'anomalie
72416,pas d'anomalie
72422,anomalie faible
72427,pas d'anomalie
72452,pas d'anomalie
72479,pas d'anomalie
72490,pas d'anomalie
72492,pas d'anomalie
72507,pas d'anomalie
72512,pas d'anomalie
72523,pas d'anomalie
72524,pas d'anomalie
72561,pas d'anomalie
72560,pas d'anomalie
72630,pas d'anomalie
72643,pas d'anomalie
72657,pas d'anomalie
72670,pas d'anomalie
72674,pas d'anomalie
72682,pas d'anomalie
72697,pas d'anomalie
72718,pas d'anomalie
72746,pas d'anomalie
72749,pas d'anomalie
72783,pas d'anomalie
72784,pas d'anomalie
72815,pas d'anomalie
72861,pas d'anomalie
72866,pas d'anomalie
72868,pas d'anomalie
72873,pas d'anomalie
72876,pas d'anomalie
72882,pas d'anomalie
72874,pas d'anomalie
72890,pas d'anomalie
72898,pas d'anomalie
72905,pas d'anomalie
72945,pas d'anomalie
72950,pas d'anomalie
72971,pas d'anomalie
72974,pas d'anomalie
72983,pas d'anomalie
72984,pas d'anomalie
72992,pas d'anomalie
72991,pas d'anomalie
72997,pas d'anomalie
72999,pas d'anomalie
73001,pas d'anomalie
73003,pas d'anomalie
73006,pas d'anomalie
73007,pas d'anomalie
72993,pas d'anomalie
73037,pas d'anomalie
69220,pas d'anomalie
73046,pas d'anomalie
73047,pas d'anomalie
73069,pas d'anomalie
73089,anomalie faible
73107,pas d'anomalie
73108,pas d'anomalie
73135,pas d'anomalie
73140,pas d'anomalie
73162,pas d'anomalie
73181,pas d'anomalie
73186,pas d'anomalie
73211,pas d'anomalie
73215,pas d'anomalie
73204,pas d'anomalie
73222,pas d'anomalie
73227,pas d'anomalie
73226,pas d'anomalie
73261,pas d'anomalie
73264,pas d'anomalie
73266,pas d'anomalie
73280,pas d'anomalie
73279,pas d'anomalie
73283,pas d'anomalie
73296,pas d'anomalie
73304,pas d'anomalie
73339,pas d'anomalie
73348,pas d'anomalie
73351,pas d'anomalie
73257,pas d'anomalie
73360,pas d'anomalie
73378,pas d'anomalie
73379,pas d'anomalie
73401,pas d'anomalie
73412,pas d'anomalie
73425,pas d'anomalie
73431,pas d'anomalie
73434,pas d'anomalie
73440,pas d'anomalie
73453,pas d'anomalie
73458,pas d'anomalie
73461,pas d'anomalie
73490,pas d'anomalie
73499,pas d'anomalie
73508,pas d'anomalie
73545,pas d'anomalie
73551,pas d'anomalie
73568,pas d'anomalie
73606,anomalie faible
73611,pas d'anomalie
73613,pas d'anomalie
73641,anomalie faible
73664,pas d'anomalie
73665,pas d'anomalie
68332,pas d'anomalie
73680,pas d'anomalie
73688,pas d'anomalie
73697,pas d'anomalie
73699,pas d'anomalie
73723,pas d'anomalie
73741,pas d'anomalie
73742,pas d'anomalie
73747,pas d'anomalie
73756,pas d'anomalie
73758,pas d'anomalie
73761,pas d'anomalie
73783,pas d'anomalie
73785,pas d'anomalie
73829,pas d'anomalie
73864,pas d'anomalie
73865,pas d'anomalie
73893,pas d'anomalie
73919,pas d'anomalie
73931,pas d'anomalie
74014,pas d'anomalie
74115,pas d'anomalie
74119,pas d'anomalie
74159,anomalie faible
74160,pas d'anomalie
74169,pas d'anomalie
74170,pas d'anomalie
74193,pas d'anomalie
74220,pas d'anomalie
74232,pas d'anomalie
74234,pas d'anomalie
74235,pas d'anomalie
74237,pas d'anomalie
74268,pas d'anomalie
74279,pas d'anomalie
74283,pas d'anomalie
74296,pas d'anomalie
74317,pas d'anomalie
74325,pas d'anomalie
74329,pas d'anomalie
74333,pas d'anomalie
74345,pas d'anomalie
74350,pas d'anomalie
